timestamp,region,dni,candidato,anomalo
2025-04-06 08:00:00,Piura,39752126,APRA,0
2025-04-06 08:00:00,Piura,64556231,APRA,0
2025-04-06 08:00:00,Piura,14114355,AVANZA PAIS,0
2025-04-06 08:00:00,Piura,15430951,APP,0
2025-04-06 08:00:00,Piura,15835904,AVANZA PAIS,0
2025-04-06 08:00:00,Piura,20628203,APP,0
2025-04-06 08:00:00,Piura,75310840,AVANZA PAIS,0
2025-04-06 08:00:00,Piura,49294436,APRA,0
2025-04-06 08:00:00,Piura,36504812,PERU LIBRE,0
2025-04-06 08:00:00,Piura,27669484,APP,0
2025-04-06 08:00:00,Piura,55343683,AVANZA PAIS,0
2025-04-06 08:00:00,Piura,18263956,AVANZA PAIS,0
2025-04-06 08:00:00,Piura,78468824,AVANZA PAIS,0
2025-04-06 08:00:00,Piura,21863862,APRA,0
2025-04-06 08:00:00,Piura,15833029,FUERZA POPULAR,0
2025-04-06 08:00:00,Piura,20127336,APP,0
2025-04-06 08:00:00,Piura,19096270,FUERZA POPULAR,0
2025-04-06 08:00:00,Piura,19674464,AVANZA PAIS,0
2025-04-06 08:00:00,Piura,68392771,APRA,0
2025-04-06 08:00:00,Piura,40619264,APP,0
2025-04-06 08:00:00,Piura,35784550,PERU LIBRE,0
2025-04-06 08:00:00,Piura,43567246,APRA,0
2025-04-06 08:00:00,Piura,57021460,APP,0
2025-04-06 08:00:00,Piura,77410052,APP,0
2025-04-06 08:00:00,Piura,39979005,FUERZA POPULAR,0
2025-04-06 08:00:00,Piura,22827259,APRA,0
2025-04-06 08:00:00,La Libertad,13749266,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,32669765,FUERZA POPULAR,0
2025-04-06 08:00:00,La Libertad,56544481,APRA,0
2025-04-06 08:00:00,La Libertad,12333757,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,43571341,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,64479786,APRA,0
2025-04-06 08:00:00,La Libertad,46718563,APP,0
2025-04-06 08:00:00,La Libertad,61876294,FUERZA POPULAR,0
2025-04-06 08:00:00,La Libertad,61892898,APP,0
2025-04-06 08:00:00,La Libertad,33753360,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,75649314,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,69398814,APP,0
2025-04-06 08:00:00,La Libertad,79095173,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,39547816,APP,0
2025-04-06 08:00:00,La Libertad,74162513,APP,0
2025-04-06 08:00:00,La Libertad,41865139,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,79462670,APRA,0
2025-04-06 08:00:00,La Libertad,62068109,APP,0
2025-04-06 08:00:00,La Libertad,33471199,APP,0
2025-04-06 08:00:00,La Libertad,18090059,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,75682084,APRA,0
2025-04-06 08:00:00,La Libertad,59415887,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,65094618,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,31034217,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,67530846,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,56233142,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,17085841,APRA,0
2025-04-06 08:00:00,La Libertad,73355287,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,34672315,APRA,0
2025-04-06 08:00:00,La Libertad,44544399,APP,0
2025-04-06 08:00:00,La Libertad,11470401,PERU LIBRE,0
2025-04-06 08:00:00,La Libertad,79783301,FUERZA POPULAR,0
2025-04-06 08:00:00,La Libertad,16393975,AVANZA PAIS,0
2025-04-06 08:00:00,La Libertad,34696948,FUERZA POPULAR,0
2025-04-06 08:00:00,Lambayeque,18039349,PERU LIBRE,0
2025-04-06 08:00:00,Lambayeque,31270144,APP,0
2025-04-06 08:00:00,Lambayeque,75173241,AVANZA PAIS,0
2025-04-06 08:00:00,Lambayeque,44866303,AVANZA PAIS,0
2025-04-06 08:00:00,Lambayeque,10119222,AVANZA PAIS,0
2025-04-06 08:00:00,Lambayeque,36667989,FUERZA POPULAR,0
2025-04-06 08:00:00,Lambayeque,71557492,FUERZA POPULAR,0
2025-04-06 08:00:00,Lambayeque,40868054,APP,0
2025-04-06 08:00:00,Lambayeque,14911902,PERU LIBRE,0
2025-04-06 08:00:00,Lambayeque,55007330,APP,0
2025-04-06 08:00:00,Lambayeque,28378488,FUERZA POPULAR,0
2025-04-06 08:00:00,Lambayeque,23486375,AVANZA PAIS,0
2025-04-06 08:00:00,Lambayeque,43704215,APP,0
2025-04-06 08:00:00,Lambayeque,47627357,PERU LIBRE,0
2025-04-06 08:00:00,Lambayeque,36984688,APRA,0
2025-04-06 08:00:00,Lambayeque,59994427,FUERZA POPULAR,0
2025-04-06 08:00:00,Lambayeque,60305343,PERU LIBRE,0
2025-04-06 08:00:00,Lambayeque,16005581,FUERZA POPULAR,0
2025-04-06 08:00:00,Lambayeque,55124515,APRA,0
2025-04-06 08:00:00,Lambayeque,48940320,APRA,0
2025-04-06 08:00:00,Lambayeque,56700921,PERU LIBRE,0
2025-04-06 08:00:00,Lambayeque,55608202,PERU LIBRE,0
2025-04-06 08:00:00,Lambayeque,10089762,AVANZA PAIS,0
2025-04-06 08:00:00,Lambayeque,75863216,APP,0
2025-04-06 08:00:00,Cajamarca,20763213,AVANZA PAIS,0
2025-04-06 08:00:00,Cajamarca,39226445,PERU LIBRE,0
2025-04-06 08:00:00,Cajamarca,28740553,AVANZA PAIS,0
2025-04-06 08:00:00,Cajamarca,35213769,APP,0
2025-04-06 08:00:00,Cajamarca,24369901,APRA,0
2025-04-06 08:00:00,Cajamarca,60431487,FUERZA POPULAR,0
2025-04-06 08:00:00,Cajamarca,49000976,APRA,0
2025-04-06 08:00:00,Cajamarca,18021987,APRA,0
2025-04-06 08:00:00,Cajamarca,16183589,FUERZA POPULAR,0
2025-04-06 08:00:00,Cajamarca,71429344,APRA,0
2025-04-06 08:00:00,Cajamarca,63542336,FUERZA POPULAR,0
2025-04-06 08:00:00,Cajamarca,64477148,APRA,0
2025-04-06 08:00:00,Cajamarca,57577518,APP,0
